Date,Return,Price,Equity_Rtn,Mortgage_Rtn,Equity_Price,Mortgage_Price
3/1/2008,3380.46,153.49,8300.4,497.28,486.39,7.65
4/1/2008,3586.71,162.36,8786.74,543.86,513.38,8.31
5/1/2008,3613.87,163.01,8854.47,561.39,515.42,8.55
6/1/2008,3207.18,143.71,7891.5,474.67,456.9,7.04
7/1/2008,3297.34,147.14,8165.42,459.05,471.05,6.76
8/1/2008,3363.51,149.57,8345.81,450.39,479.7,6.61
9/1/2008,3352.33,148.12,8329.68,436.27,476.28,6.23
10/1/2008,2339.06,102.94,5691.82,396.69,324.3,5.6
11/1/2008,1835.84,80.29,4379.55,393.43,247.78,5.55
12/1/2008,2127.27,92.02,5097.46,434.31,285.79,5.93
1/1/2009,1776.4,76.66,4215.2,410.92,235.73,5.61
2/1/2009,1430.65,61.43,3337.41,377.72,185.56,5.15
3/1/2009,1493.73,63.41,3472.97,396,191.22,5.27
4/1/2009,1911.6,80.79,4550.27,409.98,249.55,5.4
5/1/2009,1952.5,82.19,4648.41,414.68,253.81,5.45
6/1/2009,1904.29,79.51,4474.92,454.95,242.83,5.83
7/1/2009,2098.13,87.35,4943.57,495.53,267.59,6.3
8/1/2009,2354.6,97.71,5605.49,518.04,302.32,6.59
9/1/2009,2504.52,103.25,5963.97,548.11,320.19,6.78
10/1/2009,2384.26,98.08,5695.33,509.13,305.19,6.27
11/1/2009,2547.43,104.47,6088.91,545.45,325.14,6.71
12/1/2009,2711.15,110.33,6524.25,541.28,346.6,6.42
1/1/2010,2584.32,104.97,6184.3,540.49,327.88,6.41
2/1/2010,2715.02,109.94,6514.45,551.73,344.16,6.55
3/1/2010,2970.74,119.5,7177.91,554.35,377.43,6.39
4/1/2010,3166.23,127.1,7676.2,562.64,402.86,6.45
5/1/2010,2997.91,120,7250.53,552.99,379.36,6.34
6/1/2010,2862.01,113.81,6886.77,561.86,358.71,6.24
7/1/2010,3119.41,123.82,7542.56,581.12,392.17,6.44
8/1/2010,3075.61,121.68,7437.87,578.46,385.36,6.4
9/1/2010,3212.63,126.3,7770.14,604.08,400.92,6.48
10/1/2010,3358.99,131.8,8135.44,619.79,419.01,6.63
11/1/2010,3304.44,129.24,7976.14,631.95,409.36,6.75
12/1/2010,3458.89,134.39,8348.46,663.59,426.53,6.87
1/1/2011,3584.82,139.07,8619.44,666.44,439.59,6.9
2/1/2011,3745.64,144.9,9017.6,690.29,458.51,7.14
3/1/2011,3693.94,142.07,8877.86,674.5,449.69,6.79
4/1/2011,3874.67,148.74,9384.13,686.84,474.53,6.88
5/1/2011,3907.18,149.52,9514.2,688.54,479.47,6.9
6/1/2011,3802.4,144.61,9199.69,691.03,461.87,6.72
7/1/2011,3817.09,144.91,9341.46,647.37,468.17,6.27
8/1/2011,3624.07,137.16,8812.06,661.29,440.18,6.4
9/1/2011,3246.63,121.97,7846.53,622.88,390.21,5.83
10/1/2011,3678.85,137.93,8976.53,647.47,445.54,6.05
11/1/2011,3549.08,132.65,8637.58,632.47,427.31,5.9
12/1/2011,3710.61,137.57,9040.81,647.56,444.95,5.83
1/1/2012,3950.7,146.27,9628.43,694.86,473.08,6.26
2/1/2012,3924.46,144.96,9525.49,703.12,466.84,6.33
3/1/2012,4096.87,150.36,10016.55,706.34,488.72,6.17
4/1/2012,4211.56,154.29,10304.96,731.13,501.96,6.37
5/1/2012,4045.25,147.8,9836.78,735.53,477.74,6.4
6/1/2012,4283.27,155.42,10388.47,766.62,502.35,6.48
7/1/2012,4381.63,158.73,10591.56,797.66,511.35,6.73
8/1/2012,4401.71,159.04,10593.75,808.94,509.96,6.82
9/1/2012,4362.45,156.62,10404.92,829.6,498.77,6.81
10/1/2012,4347.88,155.86,10317.61,814.13,493.81,6.67
11/1/2012,4320.02,154.41,10288.19,786.78,490.81,6.44
12/1/2012,4458.1,158.18,10673.56,776.34,506.6,6.17
1/1/2013,4649.04,164.69,11072.97,852.98,524.5,6.77
2/1/2013,4709.21,166.49,11212.72,867.06,530.02,6.87
3/1/2013,4864.24,170.89,11547.89,914.86,543.37,7.08
4/1/2013,5146.46,180.51,12319.43,922.42,578.8,7.12
5/1/2013,4808.8,168.25,11589.49,806.08,543.04,6.22
6/1/2013,4699.38,163.35,11366.66,774.86,530.12,5.81
7/1/2013,4724.13,163.94,11475.01,759.37,534.28,5.69
8/1/2013,4429.76,153.29,10675.66,732.94,495.61,5.48
9/1/2013,4586.88,157.72,11015.55,759.99,508.82,5.56
10/1/2013,4773.18,163.76,11509.27,764.31,530.49,5.57
11/1/2013,4562.72,156.16,10911.75,737.57,501.62,5.36
12/1/2013,4601.14,156.35,10936.91,761.12,499.85,5.4
1/1/2014,4756.52,161.41,11390.1,806.51,519.74,5.72
2/1/2014,4979.48,168.56,11961.1,841.18,544.23,5.96
3/1/2014,4995.65,168.03,12028.49,846.09,544.46,5.86
4/1/2014,5139.63,172.58,12426.85,861.82,561.55,5.96
5/1/2014,5281.42,176.88,12726.38,882.33,573.42,6.09
6/1/2014,5343.65,177.86,12867.93,896.1,576.95,6.06
7/1/2014,5333.48,177.26,12872.41,874.5,576.23,5.9
8/1/2014,5513.82,182.76,13252.27,914.76,591.5,6.16
9/1/2014,5203.16,171.37,12463.23,857.7,553.42,5.65
10/1/2014,5657.08,185.97,13702.4,901.75,607.42,5.92
11/1/2014,5787.07,189.77,13971.63,921.74,617.61,6.03
12/1/2014,5850.23,190.65,14233.18,897.23,626.05,5.74
1/1/2015,6177.54,201.07,15187.84,893.1,667.18,5.71
2/1/2015,6018.12,195.47,14659.01,909.46,642.48,5.8
3/1/2015,6087.34,196.57,14909.54,918.33,650.3,5.74
4/1/2015,5800.61,187.01,14090.57,911.94,613.77,5.68
5/1/2015,5794,186.32,14073.15,916.44,611.25,5.69
6/1/2015,5543.78,177.09,13425.69,851.52,579.98,5.17
7/1/2015,5812.92,185.42,14182.81,877.35,611.8,5.32
8/1/2015,5482.95,174.45,13305.01,846.44,572.26,5.12
9/1/2015,5585.74,176.48,13694.41,826.35,585.62,4.89
10/1/2015,5928.86,186.99,14497.97,824.94,619.08,4.86
11/1/2015,5913.56,186.01,14422.46,832.56,614,4.89
12/1/2015,5984.18,186.93,14688.11,817.59,621.76,4.68
1/1/2016,5776,180.18,14195.65,774.65,600.07,4.43
2/1/2016,5759.4,179.26,14136.12,795.51,595.96,4.54
3/1/2016,6334.7,196.06,15569.73,852.46,653.66,4.74
4/1/2016,6229.23,192.48,15198.3,867.09,637.16,4.81
5/1/2016,6374.92,196.53,15567.27,904.11,650.84,5.01
6/1/2016,6801.03,208.3,16653.14,935.58,692.52,5.07
7/1/2016,7064.36,216.04,17344.55,965.58,720.29,5.21
8/1/2016,6832.53,208.52,16708.32,977.48,692.15,5.26
9/1/2016,6736.22,204.27,16414.23,982.43,676.43,5.18
10/1/2016,6406.81,193.93,15485.88,981.18,637.13,5.16
11/1/2016,6276.04,189.66,15224.86,997.89,625.2,5.24
12/1/2016,6539.68,196.21,15939.35,1004.41,650.54,5.15
1/1/2017,6555.64,196.43,15957.64,1020.46,650.34,5.23
2/1/2017,6828.41,204.21,16501.66,1079.33,670.91,5.52
3/1/2017,6733.68,200.02,16124.59,1113.09,651.68,5.57
