FTSE NAREIT US Real Estate Index Series,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Index Values and Returns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December 1971 - March 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Returns and dividend yield in percent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All REITs,,,,,,,Composite,,,,,,,Real Estate 50,,,,,,,All Equity REITs,,,,,,,Equity REITs,,,,,,,Mortgage REITs,,,,,
,Total,,Price,,Income,Dividend,,Total,,Price,,Income,Dividend,,Total,,Price,,Income,Dividend,,Total,,Price,,Income,Dividend,,Total,,Price,,Income,Dividend,,Total,,Price,,Income ,Dividend
Date,Return,Index,Return,Index,Return,Yield,,Return,Index,Return,Index,Return,Yield,,Return,Index,Return,Index,Return,Yield,,Return,Index,Return,Index,Return,Yield,,Return,Index,Return,Index,Return,Yield,,Return,Index,Return,Index,Return,Yield
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul-73,2.17,100.87,1.16,89.62,1.01,8.55,,2.17,100.87,1.16,89.62,1.01,8.55,,,,,,,,,3.52,103.82,2.49,92.83,1.03,7.32,,3.52,103.82,2.49,92.83,1.03,7.32,,0.6,97.22,-0.02,86.02,0.63,9.35
Aug-73,-6.53,94.28,-6.69,83.62,0.16,9.22,,-6.53,94.28,-6.69,83.62,0.16,9.22,,,,,,,,,-4.67,98.97,-4.84,88.34,0.17,7.68,,-4.67,98.97,-4.84,88.34,0.17,7.68,,-7.19,90.23,-7.42,79.64,0.23,10.23
Sep-73,7.85,101.67,6.88,89.38,0.97,8.66,,7.85,101.67,6.88,89.38,0.97,8.66,,,,,,,,,6.48,105.39,5.59,93.28,0.89,7.93,,6.48,105.39,5.59,93.28,0.89,7.93,,8.39,97.8,6.95,85.17,1.44,9.43
Oct-73,1.23,102.92,0.16,89.52,1.06,8.74,,1.23,102.92,0.16,89.52,1.06,8.74,,,,,,,,,0.91,106.35,-0.02,93.26,0.93,8.04,,0.91,106.35,-0.02,93.26,0.93,8.04,,-0.53,97.28,-1.35,84.02,0.82,9.77
Nov-73,-14.03,88.48,-14.18,76.82,0.16,10.25,,-14.03,88.48,-14.18,76.82,0.16,10.25,,,,,,,,,-14,91.46,-14.07,80.14,0.06,9.34,,-14,91.46,-14.07,80.14,0.06,9.34,,-15.34,82.35,-15.62,70.9,0.28,11.74
Dec-73,-8.54,80.93,-9.58,69.46,1.04,11.38,,-8.54,80.93,-9.58,69.46,1.04,11.38,,,,,,,,,-0.23,91.25,-1.34,79.07,1.11,9.6,,-0.23,91.25,-1.34,79.07,1.11,9.6,,-13.18,71.5,-14.71,60.47,1.53,13.7
Jan-74,3.1,83.44,1.69,70.64,1.42,11.52,,3.1,83.44,1.69,70.64,1.42,11.52,,,,,,,,,4.58,95.43,3.28,81.66,1.3,9.38,,4.58,95.43,3.28,81.66,1.3,9.38,,4.53,74.74,3.36,62.5,1.17,13.31
Feb-74,4.57,87.26,4.23,73.62,0.34,11.04,,4.57,87.26,4.23,73.62,0.34,11.04,,,,,,,,,4.29,99.53,4.13,85.03,0.16,8.96,,4.29,99.53,4.13,85.03,0.16,8.96,,4.82,78.34,4.48,65.3,0.34,12.74
Mar-74,-3.67,84.05,-4.76,70.12,1.08,11.51,,-3.67,84.05,-4.76,70.12,1.08,11.51,,,,,,,,,-2.18,97.36,-3.2,82.31,1.02,9.22,,-2.18,97.36,-3.2,82.31,1.02,9.22,,-5.91,73.71,-7.59,60.34,1.68,13.71
Apr-74,-12.23,73.77,-13.64,60.55,1.41,19.2,,-12.23,73.77,-13.64,60.55,1.41,19.2,,,,,,,,,-5.49,92.02,-6.52,76.94,1.03,13.07,,-5.49,92.02,-6.52,76.94,1.03,13.07,,-13.56,63.72,-14.65,51.51,1.09,25.23
May-74,-5.66,69.6,-5.9,56.98,0.25,19.11,,-5.66,69.6,-5.9,56.98,0.25,19.11,,,,,,,,,-7.02,85.56,-7.07,71.5,0.05,13.07,,-7.02,85.56,-7.07,71.5,0.05,13.07,,-8.38,58.38,-8.91,46.92,0.53,25.07
Jun-74,-9.19,63.2,-10.55,50.97,1.36,15.34,,-9.19,63.2,-10.55,50.97,1.36,15.34,,,,,,,,,1.56,86.89,0.27,71.7,1.29,10.64,,1.56,86.89,0.27,71.7,1.29,10.64,,-10.76,52.1,-12.93,40.85,2.17,19.52
Jul-74,-1.6,62.19,-3.3,49.29,1.7,15.11,,-1.6,62.19,-3.3,49.29,1.7,15.11,,,,,,,,,-7.65,80.25,-9.07,65.2,1.42,11.59,,-7.65,80.25,-9.07,65.2,1.42,11.59,,1.41,52.83,-0.13,40.8,1.54,18.64
Aug-74,-17.94,51.03,-18.26,40.29,0.33,17.9,,-17.94,51.03,-18.26,40.29,0.33,17.9,,,,,,,,,-7.54,74.2,-7.6,60.24,0.06,12.58,,-7.54,74.2,-7.6,60.24,0.06,12.58,,-21.79,41.32,-22.26,31.72,0.47,23.71
Sep-74,3.37,52.76,1.75,40.99,1.62,16.78,,3.37,52.76,1.75,40.99,1.62,16.78,,,,,,,,,-0.48,73.84,-1.67,59.24,1.19,12.67,,-0.48,73.84,-1.67,59.24,1.19,12.67,,5.83,43.73,2.99,32.67,2.84,21.56
